itemId,brand,name,price,link,rating,reviews_count,product_type,for_whom,skin_type,area,volume
19000325132,florinda,florindamandorla di sicilia,3982.0,https://goldapple.kz/19000325132-mandorla-di-sicilia,0.0,0,мыло твердое,unisex,all,body,
19000186794,lavallee,lavallee,157535.0,https://goldapple.kz/19000186794-precious-youth-concentrate-elixir,5.0,10,сыворотка для лица,women,all,face,30 мл
19000391297,tiswell,tiswell,1949.0,https://goldapple.kz/19000391297-perio-profilaktika,5.0,10,зубная паста,unknown,not_specified,not_specified,
19000096661,arko,arko,1826.0,https://goldapple.kz/19000096661-hemp,5.0,160,пена для бритья,men,all,face,200 мл
19000022130,bielenda,bielenda,3911.0,https://goldapple.kz/19000022130-golden-ceramides,4.9,110,крем для лица,women,all,face,50 мл
1082200002,bella,bella,897.0,https://goldapple.kz/1082200002-super,4.8,130,тампоны,women,not_specified,body,
36290200003,old spice,old spice,2021.0,https://goldapple.kz/36290200003-captain,4.8,370,дезодорант,men,all,body,150 мл
19000444855,deonica,deonica,2638.0,https://goldapple.kz/19000444855-3-for-men,5.0,50,бритвенные станки,men,not_specified,face_and_body,
19760304495,sisley,sisley,50385.0,https://goldapple.kz/19760304495-eye-and-lip-gel-make-up-remover,4.0,100,гель для лица,unisex,sensitive,eyes,120 мл
17141000003,nesti dante,nesti dante,4216.0,https://goldapple.kz/17141000003-shic-animalier-red,4.7,200,мыло твердое,unisex,all,face_and_body,
19000293344,piyol,piyolintense purfying acne,18810.0,https://goldapple.kz/19000293344-intense-purfying-acne,0.0,0,сыворотка для лица,women,all,face,50 мл
19000106323,florinda,florinda,12098.0,https://goldapple.kz/19000106323-blossom-blue,4.2,40,подарочный набор,unisex,all,other,
19000326468,deonica,deonica,2450.0,https://goldapple.kz/19000326468-moisturizing-3in1,4.7,60,крем для тела,unisex,all,face_and_body,200 мл
19000035914,baffy,baffy,1655.0,https://goldapple.kz/19000035914-cvet-fioletovyj,3.7,70,мыло жидкое,kids,all,not_specified,85 мл
19000096310,predige,predige,90779.0,https://goldapple.kz/19000096310-serum-lift,3.0,10,сыворотка для лица,women,all,face,30 мл
19000122951,meder beauty science,meder beauty science,42934.0,https://goldapple.kz/19000122951-enzy-peel,4.9,0,маски для лица,unisex,all,face,50 мл
19000015686,medipharma cosmetics,medipharma cosmetics,5727.0,https://goldapple.kz/19000015686-olivenol,4.2,190,тоник для лица,women,sensitive,face,200 мл
1011200042,always,always,928.0,https://goldapple.kz/1011200042-ultra-night-deo,5.0,30,прокладки,unknown,not_specified,other,
19000106060,yokosun,yokosun,9066.0,https://goldapple.kz/19000106060-premium-15-23-kg,4.9,110,трусики-подгузники,unknown,not_specified,body,
26642200010,la mer,la mer,156800.0,https://goldapple.kz/26642200010-neck-and-decollete-concentrate,5.0,60,сыворотка для лица,unisex,all,other,50 мл
19000145723,thalgo,thalgo,25765.0,https://goldapple.kz/19000145723-lifting-firming-cream-refill,5.0,40,крем для лица,unisex,all,face,50 мл
19000329177,clinique,clinique,41400.0,https://goldapple.kz/19000329177-smart-clinical-repair,4.9,0,крем для лица,women,all,face,75 мл
19000106313,florinda,florinda,4425.0,https://goldapple.kz/19000106313-rosa,4.6,90,мыло твердое,unisex,all,other,
19000096713,frosch,frosch,3185.0,https://goldapple.kz/19000096713-aloe-vera,4.9,0,мыло жидкое,unisex,sensitive,other,500 мл
19000474917,yokosun,yokosun,7673.0,https://goldapple.kz/19000474917-s-do-6-kg,4.8,210,подгузники,unknown,not_specified,not_specified,
19000106279,florinda,florinda,14021.0,https://goldapple.kz/19000106279-fico-bianco,4.0,30,мыло жидкое,unisex,all,other,500 мл
89230500014,librederm,librederm,4765.0,https://goldapple.kz/89230500014-collagen,4.8,730,пенка для лица,women,all,face,160 мл
19000181017,colgate,colgate,1370.0,https://goldapple.kz/19000181017-extra-density-srednaa-zestkost,3.8,60,зубная щетка,unisex,not_specified,not_specified,
19000195090,erborian,erborian,22680.0,https://goldapple.kz/19000195090-yuza-cure,4.6,500,крем для лица,women,all,face,25 мл
19000001714,palmolive,palmolive,1511.0,https://goldapple.kz/19000001714-luminous-oils-macadamia-peony,4.9,90,мыло жидкое,unisex,all,body,300 мл
19000164467,mettler 1929,mettler 1929,35988.0,https://goldapple.kz/19000164467-stc-anti-aging-24h-cream,4.7,30,крем для лица,unisex,all,face,50 мл
19000360126,avon,avon,4578.0,https://goldapple.kz/19000360126-ultimate,4.9,0,крем для лица,unisex,all,face,50 мл
19000309876,thalgo,thalgo,31112.0,https://goldapple.kz/19000309876-intensive-energising-serum,4.3,30,сыворотка для лица,unisex,all,face,30 мл
19000106289,florinda,florinda,3982.0,https://goldapple.kz/19000106289-blossom-vert,4.0,40,мыло твердое,unisex,all,other,
19000494730,emis,emis,975.0,https://goldapple.kz/19000494730-emis-vitamin-c,5.0,10,зубная паста,unisex,not_specified,not_specified,
19000071004,colgate,colgate,1143.0,https://goldapple.kz/19000071004-soft,4.2,60,зубная щетка,kids,not_specified,not_specified,
19000220195,holika holika,holika holika,6120.0,https://goldapple.kz/19000220195-getting-to-know-korea,3.3,30,наборы,unisex,dry,face,
19000483902,biosolis,biosolis,12218.0,https://goldapple.kz/19000483902-high-protection,4.9,0,масло для тела,unisex,not_specified,face_and_body,150 мл
19000447299,yves rocher,yves rocher,11592.0,https://goldapple.kz/19000447299-100h-non-stop-moisturizing,4.9,0,сыворотка для лица,unisex,all,face,30 мл
19000141153,ekitto,ekitto,6502.0,https://goldapple.kz/19000141153-premium-5-10-kg,4.9,0,подгузники,unknown,not_specified,body,
19000360133,avon,avon,2292.0,https://goldapple.kz/19000360133-medieval,4.9,0,крем для тела,unisex,all,body,200 мл
19000343213,green mama,green mama,2485.0,https://goldapple.kz/19000343213-nourishing-altai,4.8,200,крем для тела,women,all,body,170 мл
